aa;258459;3,9269E-05
ab;3970375;0,000603245
ac;10805034;0,00164168
ač;11274469;0,001713004
ać;2541792;0,000386191
ad;27683685;0,004206164
ađ;2917852;0,000443328
ae;663528;0,000100814
af;1496409;0,000227359
ag;7114646;0,001080975
ah;2091080;0,000317711
ai;1654637;0,0002514
aj;23297455;0,003539735
ak;33084572;0,005026756
al;33816029;0,005137891
am;22998541;0,003494319
an;61354730;0,009322026
ao;12981896;0,001972424
ap;6828437;0,001037489
ar;26585864;0,004039364
as;17386269;0,00264161
aš;7709176;0,001171306
at;36718901;0,005578943
au;2964083;0,000450353
av;33869416;0,005146002
az;14411937;0,0021897
až;5734280;0,000871247
aq;43121;6,552E-06
aw;104700;1,5908E-05
ax;117528;1,7857E-05
ay;475377;7,2227E-05
a ;215614936;0,032759789
ba;12409025;0,001885384
bb;137115;2,0833E-05
bc;85888;1,305E-05
bč;9321;1,416E-06
bć;780;1,19E-07
bd;112069;1,7027E-05
bđ;118;1,8E-08
be;7186648;0,001091914
bf;11581;1,76E-06
bg;8851;1,345E-06
bh;29475;4,478E-06
bi;24419545;0,003710221
bj;2535112;0,000385176
bk;19013;2,889E-06
bl;4869763;0,000739895
bm;74295;1,1288E-05
bn;2643933;0,00040171
bo;12527004;0,00190331
bp;26592;4,04E-06
br;9774135;0,001485048
bs;106828;1,6231E-05
bš;2142;3,25E-07
bt;22269;3,383E-06
bu;4955203;0,000752876
bv;378933;5,7574E-05
bz;519551;7,8939E-05
bž;1041;1,58E-07
bq;406;6,2E-08
bw;4334;6,58E-07
bx;936;1,42E-07
by;69750;1,0598E-05
b ;1239818;0,000188374
ca;10161014;0,001543829
cb;25921;3,938E-06
cc;181524;2,758E-05
cč;251;3,8E-08
cć;100;1,5E-08
cd;108803;1,6531E-05
cđ;36;5E-09
ce;8683588;0,001319354
cf;8794;1,336E-06
cg;24265;3,687E-06
ch;1460278;0,00022187
ci;25079253;0,003810455
cj;722404;0,00010976
ck;808726;0,000122875
cl;281567;4,278E-05
cm;96388;1,4645E-05
cn;94277;1,4324E-05
co;1588731;0,000241386
cp;23725;3,605E-06
cr;1620929;0,000246278
cs;94685;1,4386E-05
cš;424;6,4E-08
ct;244012;3,7074E-05
cu;2834520;0,000430667
